Rented Bike Count,Temperature,Humidity,Wind speed,Visibility,Dew point temperature,Solar Radiation
449,1.7,23,1.4,2000,-17.2,1.11
479,4.3,41,1.3,1666,-7.8,1.09
333,5.8,85,1.7,349,3.4,0.43
393,-0.3,38,4.8,1823,-12.9,1.11
321,-2.3,25,0,1962,-19.7,0
405,2.4,52,0.9,1224,-6.4,1.08
431,3.7,65,2.4,833,-2.2,0.98
355,-2,30,1.4,1728,-17.3,1.14
427,2.4,40,0.8,1809,-9.8,1.05
119,2.3,88,0.3,245,0.5,0.28
247,-5.2,33,4.6,1973,-19,1.26
228,-8.3,35,2.9,1967,-21,1.14
267,-6.5,30,2.9,1945,-21.2,1.17
278,-4.9,34,1.3,1768,-18.3,0.6
309,-2.5,43,0.7,895,-13.3,0.34
252,-4.1,28,3.8,1998,-19.9,1.08
216,-4.9,25,2.6,1966,-21.9,1.08
62,-1.8,83,1.2,351,-4.3,0.09
191,-2.5,31,2.6,1778,-17.3,1.08
209,-3.2,49,1.3,1723,-12.4,0.53
290,1.9,40,2,1835,-10.3,1.04
325,7,72,1.9,246,2.2,0.64
262,-1.3,23,4,2000,-19.8,1.09
230,-5.5,21,2.1,1941,-24.4,1.08
286,-0.8,38,1,1686,-13.3,0.75
363,4.3,62,1.6,472,-2.3,0.52
274,3.2,64,0.8,258,-2.9,0.47
293,0.9,29,1.9,1761,-15.1,0.88
297,-3.4,32,3.1,1706,-17.7,1.02
290,-2.9,33,0.9,1813,-16.9,0.92
362,-0.3,45,2.2,1066,-10.8,1.01
283,0,35,2.3,1672,-13.6,1.07
278,1.1,34,0.9,1455,-13,0.6
356,2.7,33,2.7,1281,-12,0.6
262,-2.7,45,2.4,1707,-13,1.05
217,-5.6,44,4.5,1830,-15.9,1.1
187,-8.6,40,2.6,1700,-19.8,1.11
178,-9.6,27,2,1945,-25.1,1.17
174,-3.7,66,1.1,1140,-9.1,0.45
226,1.2,58,0.8,550,-6.1,0.74
311,6.2,64,1.9,549,-0.1,0.79
276,5.2,52,1.2,349,-3.8,0.45
310,8.1,51,1.4,367,-1.4,0.75
267,2.5,72,2.4,256,-2,0
341,4.3,28,1.5,1858,-12.6,0.98
325,5.3,55,2.6,904,-3,0.85
271,3.9,30,1.6,1085,-12.1,0.91
323,3.9,28,0.9,1383,-12.9,0.6
180,-11.3,27,3.7,1955,-26.6,1.18
121,-12.2,26,4,2000,-27.8,1.17
142,-12.8,25,3.2,1981,-28.7,1.16
111,-14.4,30,2.7,1906,-28.2,1.17
145,-7.7,32,2.5,1763,-21.5,1.13
189,-3.5,26,2.5,1756,-20.2,1.07
186,-7.3,23,3.8,1903,-24.9,1.17
253,-3.2,32,2.7,1900,-17.5,1.01
160,-1,35,2.7,1921,-14.5,0.64
240,-1.1,31,1.3,1869,-16.1,1.2
303,0.9,37,1.5,1283,-12.1,1.12
192,-6,38,3.4,1930,-18,2.04
165,-8.3,32,1.8,1295,-22.1,1.99
157,-7.8,28,4.1,2000,-23.1,2.12
172,-8.2,31,2.7,1858,-22.3,2.09
188,-6,24,2.6,1964,-23.3,1.97
253,-1.5,35,1.2,1551,-15,1.9
260,1.6,28,0.5,1193,-14.9,0.88
248,2.9,53,4.7,354,-5.7,1.37
174,-3.9,28,2.9,1921,-19.7,2.12
202,-4.6,32,4.2,1874,-18.8,1.43
281,1,41,3.3,1794,-10.8,2.11
312,6.9,67,3.9,986,1.1,0.42
263,2.2,17,1,1979,-20.4,1.75
361,4.7,43,2.1,1131,-6.8,1.38
356,4,23,3.5,1785,-15.3,2.03
351,2.2,17,2,1824,-20.4,1.99
352,4.8,47,2.6,1373,-5.5,1.72
283,5.3,70,0.9,226,0.2,1.73
363,4,37,1.4,763,-9.4,1.75
396,5.5,25,3.1,1652,-13,2.28
428,6.9,28,1.1,1301,-10.3,2.35
353,5.4,37,0.7,815,-8.1,0.43
305,7.6,48,2.6,600,-2.7,0.39
388,1.8,26,2.2,1556,-15.7,2.61
605,10.7,16,1.7,1657,-14.1,2.56
358,10.7,85,0.9,393,8.2,0.52
438,7.6,58,2.4,2000,-0.1,1.85
504,8.5,34,1.9,1876,-6.4,2.55
550,9.6,39,1.8,1982,-3.7,2.09
375,5.6,72,3,1700,0.9,0.89
510,6.8,51,1,1617,-2.6,1.13
650,7.1,50,2.2,909,-2.6,2.47
666,9.2,40,2.6,592,-3.7,2.47
581,11.7,32,1.6,690,-4.4,1.99
626,15.5,47,3.3,1303,4.2,2.44
813,19.9,44,2.7,1874,7.2,2.22
204,13.3,97,2.9,771,12.8,0.19
705,9.4,40,2.6,1913,-3.5,2.78
933,10,38,1.5,1677,-3.6,2.51
751,9.8,46,1.2,710,-1.2,1.13
403,10.2,58,3.5,2000,2.2,0.32
522,9,33,3.1,1985,-6.4,2.59
333,4.8,51,2.2,1715,-4.5,1.12
668,8.3,36,2.5,1665,-5.9,2.7
690,9.3,37,2.3,940,-4.6,2.72
806,10.6,52,3.1,390,1.1,2.27
626,12.7,45,1.3,321,1,2.63
492,14.6,53,2.5,348,5.1,2.65
586,16.7,47,2.4,620,5.3,1.76
629,16.5,57,3.8,881,7.9,1.55
714,18.2,55,2.3,594,9,2.24
939,19.1,26,1.6,1704,-0.8,2.73
1072,18.2,38,4.2,1189,3.6,2.41
926,18,53,3.1,1350,8.2,1.53
818,20.8,50,2,1240,9.9,1.82
913,19.6,63,2.9,1034,12.3,0.68
928,15.3,54,2.1,1989,6,2.83
70,7.3,95,2.2,676,6.5,0.3
